De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude,nearest_distance,nearest_school,nearest_management_type,nearest_same_management_distance,nearest_same_management_school,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,Sustainability,geom
1010012,"Belmont Primary School, Belfast",Belfast,BT4 2AG,Controlled,Belfast East,URBAN,245.0,54.598815,-5.867075,0.5071583479129954,"Strathearn Preparatory School, Belfast",Voluntary,0.5245959069041609,"Greenwood Primary School, Belfast",0.5071583479129954,"Strathearn Preparatory School, Belfast",Voluntary,Sustainable,POINT (-5.867075 54.598815)
1010063,"Currie Primary School, Belfast",Belfast,BT15 3AB,Controlled,Belfast North,URBAN,192.0,54.615987,-5.930782,0.2769120207637697,"Holy Family Primary School, Belfast",Catholic Maintained,1.0768046051869464,"Bunscoil Mhic Reachtain, Belfast",0.2769120207637697,"Holy Family Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.930782 54.615987)
1010146,"Euston Street Primary School, Belfast",Belfast,BT6 9AG,Controlled,Belfast East,URBAN,363.0,54.588914,-5.898412,0.4211784171341346,"Elmgrove Primary School, Belfast",Controlled,0.4211784171341346,"Elmgrove Primary School, Belfast",0.7012307078875266,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,Sustainable,POINT (-5.898412 54.588914)
1010157,Rosetta Primary School,Belfast,BT6 0JA,Controlled,Belfast South,URBAN,310.0,54.570179,-5.91184,0.2386873036908356,"Forge Integrated Primary School, Belfast",Controlled Integrated,0.6062949226274205,"Knockbreda Primary School, Belfast",0.2386873036908356,"Forge Integrated Primary School, Belfast",Controlled Integrated,Sustainable,POINT (-5.91184 54.570179)
1010205,"Forth River Primary School, Belfast",Belfast,BT13 3PQ,Controlled,Belfast West,URBAN,212.0,54.61246,-5.969755,0.48659232783588474,"Mercy Primary School, Belfast",Catholic Maintained,0.9022000782370078,"Wheatfield Primary School, Belfast",0.48659232783588474,"Mercy Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.969755 54.61246)
1010221,"Springfield Primary School, Belfast",Belfast,BT12 7DJ,Controlled,Belfast West,URBAN,177.0,54.601149,-5.969327,0.580914261124223,"Black Mountain Primary School, Belfast",Controlled,0.580914261124223,"Black Mountain Primary School, Belfast",0.6132668285760765,"St Paul's Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.969327 54.601149)
1010252,"Strandtown Primary School, Belfast",Belfast,BT4 3DJ,Controlled,Belfast East,URBAN,979.0,54.597401,-5.875551,0.2681822880289395,"Dundela Infants Primary School, Belfast",Controlled,0.2681822880289395,"Dundela Infants Primary School, Belfast",0.4284185781188719,"St Joseph's Primary School, Holland Dr",Catholic Maintained,Sustainable,POINT (-5.875551 54.597401)
1010255,"Elmgrove Primary School, Belfast",Belfast,BT5 4RS,Controlled,Belfast East,URBAN,612.0,54.591444,-5.893547,0.4211784171341346,"Euston Street Primary School, Belfast",Controlled,0.4211784171341346,"Euston Street Primary School, Belfast",1.0334504098027635,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,Sustainable,POINT (-5.893547 54.591444)
1010266,"Seaview Primary School, Belfast",Belfast,BT15 3NB,Controlled,Belfast North,URBAN,448.0,54.626744,-5.927231,0.8555630993273183,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,0.8767960951036787,"Lowwood Primary School, Belfast",0.8555630993273183,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.927231 54.626744)
1010267,"Nettlefield Primary School, Belfast",Belfast,BT6 8BG,Controlled,Belfast South,URBAN,413.0,54.592931,-5.906235,0.6734595141337962,"Euston Street Primary School, Belfast",Controlled,0.6734595141337962,"Euston Street Primary School, Belfast",0.6771908543249145,"St Matthew's Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.906235 54.592931)
1010273,"Orangefield Primary School, Belfast",Belfast,BT5 6BA,Controlled,Belfast East,URBAN,460.0,54.58303,-5.879935,1.0319019501411333,"Leadhill Primary School, Belfast",Controlled,1.0319019501411333,"Leadhill Primary School, Belfast",1.1985436182087208,"Harding Memorial Integrated Primary School, Belfast",Controlled Integrated,Sustainable,POINT (-5.879935 54.58303)
1010282,"Carr's Glen Primary School, Belfast",Belfast,BT14 6QX,Controlled,Belfast North,URBAN,340.0,54.62434,-5.961854,0.5104380732043596,"Our Lady's Primary School, Belfast",Catholic Maintained,0.534730685372183,"Wheatfield Primary School, Belfast",0.5104380732043596,"Our Lady's Primary School, Belfast",Catholic Maintained,Sustainable,POINT (-5.961854 54.62434)
1010301,"Taughmonagh Primary School, Belfast",Belfast,BT9 6QL,Controlled,Belfast South,URBAN,264.0,54.559872,-5.967716,1.0442900218980242,"Finaghy Primary School, Belfast",Controlled,1.0442900218980242,"Finaghy Primary School, Belfast",1.3118035064924207,"Cranmore Integrated Primary School, Belfast",GMI,Sustainable,POINT (-5.967716 54.559872)
