constituency,management type,count
Belfast East,Catholic Maintained,2
Belfast East,Controlled,16
Belfast East,Voluntary,2
Belfast North,Catholic Maintained,13
Belfast North,Controlled,18
Belfast North,Controlled Integrated,2
Belfast North,GMI,1
Belfast North,Other Maintained,2
Belfast North,Voluntary,1
Belfast South,Catholic Maintained,8
Belfast South,Controlled,13
Belfast South,Controlled Integrated,2
Belfast South,GMI,2
Belfast South,Other Maintained,1
Belfast South,Voluntary,4
Belfast West,Catholic Maintained,17
Belfast West,Controlled,6
Belfast West,Other Maintained,6
East Antrim,Catholic Maintained,9
East Antrim,Controlled,22
East Antrim,Controlled Integrated,3
East Antrim,GMI,2
East Londonderry,Catholic Maintained,20
East Londonderry,Controlled,24
East Londonderry,Controlled Integrated,1
East Londonderry,GMI,2
East Londonderry,Other Maintained,1
Fermanagh And South Tyrone,Catholic Maintained,39
Fermanagh And South Tyrone,Controlled,27
Fermanagh And South Tyrone,GMI,2
Fermanagh And South Tyrone,Other Maintained,2
Foyle,Catholic Maintained,23
Foyle,Controlled,11
Foyle,GMI,1
Foyle,Other Maintained,2
Lagan Valley,Catholic Maintained,5
Lagan Valley,Controlled,23
Lagan Valley,Controlled Integrated,1
Lagan Valley,GMI,2
Lagan Valley,Voluntary,2
Mid Ulster,Catholic Maintained,41
Mid Ulster,Controlled,20
Mid Ulster,GMI,2
Mid Ulster,Other Maintained,4
Newry And Armagh,Catholic Maintained,42
Newry And Armagh,Controlled,22
Newry And Armagh,GMI,1
Newry And Armagh,Other Maintained,2
Newry And Armagh,Voluntary,1
North Antrim,Catholic Maintained,14
North Antrim,Controlled,35
North Antrim,Controlled Integrated,2
North Antrim,GMI,1
North Antrim,Other Maintained,1
North Down,Catholic Maintained,4
North Down,Controlled,14
North Down,Controlled Integrated,2
North Down,Voluntary,1
South Antrim,Catholic Maintained,10
South Antrim,Controlled,25
South Antrim,Controlled Integrated,4
South Antrim,GMI,1
South Antrim,Other Maintained,1
South Down,Catholic Maintained,41
South Down,Controlled,13
South Down,Controlled Integrated,3
South Down,GMI,1
South Down,Other Maintained,2
Strangford,Catholic Maintained,9
Strangford,Controlled,22
Strangford,Controlled Integrated,4
Strangford,GMI,2
Upper Bann,Catholic Maintained,17
Upper Bann,Controlled,23
Upper Bann,GMI,2
Upper Bann,Other Maintained,1
West Tyrone,Catholic Maintained,35
West Tyrone,Controlled,18
West Tyrone,Controlled Integrated,1
West Tyrone,GMI,1
West Tyrone,Other Maintained,2
