De ref,school name,management type,constituency,total enrolment,nearest_school,nearest_management_type,nearest_distance,area
1010012,"Belmont Primary School, Belfast",Controlled,Belfast East,245.0,"Strathearn Preparatory School, Belfast",Voluntary,0.5,0.8
1010063,"Currie Primary School, Belfast",Controlled,Belfast North,192.0,"Holy Family Primary School, Belfast",Catholic Maintained,0.3,0.2
1010146,"Euston Street Primary School, Belfast",Controlled,Belfast East,363.0,"Elmgrove Primary School, Belfast",Controlled,0.4,0.6
1010157,Rosetta Primary School,Controlled,Belfast South,310.0,"Forge Integrated Primary School, Belfast",Controlled Integrated,0.2,0.2
1010205,"Forth River Primary School, Belfast",Controlled,Belfast West,212.0,"Mercy Primary School, Belfast",Catholic Maintained,0.5,0.7
1010221,"Springfield Primary School, Belfast",Controlled,Belfast West,177.0,"Black Mountain Primary School, Belfast",Controlled,0.6,1.1
1010252,"Strandtown Primary School, Belfast",Controlled,Belfast East,979.0,"Dundela Infants Primary School, Belfast",Controlled,0.3,0.2
1010255,"Elmgrove Primary School, Belfast",Controlled,Belfast East,612.0,"Euston Street Primary School, Belfast",Controlled,0.4,0.6
1010266,"Seaview Primary School, Belfast",Controlled,Belfast North,448.0,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,0.9,2.3
1010267,"Nettlefield Primary School, Belfast",Controlled,Belfast South,413.0,"Euston Street Primary School, Belfast",Controlled,0.7,1.4
1010273,"Orangefield Primary School, Belfast",Controlled,Belfast East,460.0,"Leadhill Primary School, Belfast",Controlled,1.0,3.3
1010282,"Carr's Glen Primary School, Belfast",Controlled,Belfast North,340.0,"Our Lady's Primary School, Belfast",Catholic Maintained,0.5,0.8
1010301,"Taughmonagh Primary School, Belfast",Controlled,Belfast South,264.0,"Finaghy Primary School, Belfast",Controlled,1.0,3.4
1010304,"Greenwood Primary School, Belfast",Controlled,Belfast East,294.0,"Belmont Primary School, Belfast",Controlled,0.5,0.9
1010307,"Springhill Primary School, Belfast",Controlled,Belfast West,195.0,"Black Mountain Primary School, Belfast",Controlled,0.6,1.2
1010323,"Edenbrooke Primary School, Belfast",Controlled,Belfast North,367.0,"Glenwood Primary School, Belfast",Controlled,0.5,0.7
1010324,"Stranmillis Primary School, Belfast",Controlled,Belfast South,466.0,"Victoria College Prep Department, Belfast",Voluntary,1.0,3.1
1010325,"Ligoniel Primary School, Belfast",Controlled,Belfast North,197.0,St Vincent de Paul Primary School,Catholic Maintained,0.4,0.4
1010806,"Finaghy Primary School, Belfast",Controlled,Belfast South,383.0,"Cranmore Integrated Primary School, Belfast",GMI,0.8,1.9
1010831,"Cavehill Primary School, Belfast",Controlled,Belfast North,402.0,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,0.8,1.9
1013018,"Knocknagoney Primary School, Belfast",Controlled,Belfast East,249.0,"Campbell College Junior School, Belfast",Voluntary,1.9,11.8
1016059,"Black Mountain Primary School, Belfast",Controlled,Belfast West,182.0,"Springfield Primary School, Belfast",Controlled,0.6,1.1
1016060,"Donegall Road Primary School, Belfast",Controlled,Belfast South,209.0,"Fane Street Primary School, Belfast",Controlled,0.5,0.6
1016076,Ballysillan Primary School,Controlled,Belfast North,223.0,"Carr's Glen Primary School, Belfast",Controlled,0.9,2.3
1016205,"Fane Street Primary School, Belfast",Controlled,Belfast South,309.0,"Donegall Road Primary School, Belfast",Controlled,0.5,0.6
1016207,"Blythefield Primary School, Belfast",Controlled,Belfast South,192.0,"St Joseph's Primary School, Slate",Catholic Maintained,0.7,1.5
1016242,"Dundela Infants Primary School, Belfast",Controlled,Belfast East,282.0,"Strandtown Primary School, Belfast",Controlled,0.3,0.2
1016485,"Glenwood Primary School, Belfast",Controlled,Belfast North,508.0,"Edenbrooke Primary School, Belfast",Controlled,0.5,0.7
1016498,"Malvern Primary School, Belfast",Controlled,Belfast West,164.0,"St Patrick's Primary School, Belfast",Catholic Maintained,0.6,1.2
1016499,"Botanic Primary School, Belfast",Controlled,Belfast South,210.0,"Fullerton House Preparatory School, Belfast",Voluntary,0.6,1.0
