De ref,school name,management type,constituency,total enrolment,nearest_same_management_distance,nearest_same_management_school,area
1010012,"Belmont Primary School, Belfast",Controlled,Belfast East,245.0,0.5,"Greenwood Primary School, Belfast",0.9
1010063,"Currie Primary School, Belfast",Controlled,Belfast North,192.0,1.1,"Bunscoil Mhic Reachtain, Belfast",3.6
1010146,"Euston Street Primary School, Belfast",Controlled,Belfast East,363.0,0.4,"Elmgrove Primary School, Belfast",0.6
1010157,Rosetta Primary School,Controlled,Belfast South,310.0,0.6,"Knockbreda Primary School, Belfast",1.2
1010205,"Forth River Primary School, Belfast",Controlled,Belfast West,212.0,0.9,"Wheatfield Primary School, Belfast",2.6
1010221,"Springfield Primary School, Belfast",Controlled,Belfast West,177.0,0.6,"Black Mountain Primary School, Belfast",1.1
1010252,"Strandtown Primary School, Belfast",Controlled,Belfast East,979.0,0.3,"Dundela Infants Primary School, Belfast",0.2
1010255,"Elmgrove Primary School, Belfast",Controlled,Belfast East,612.0,0.4,"Euston Street Primary School, Belfast",0.6
1010266,"Seaview Primary School, Belfast",Controlled,Belfast North,448.0,0.9,"Lowwood Primary School, Belfast",2.4
1010267,"Nettlefield Primary School, Belfast",Controlled,Belfast South,413.0,0.7,"Euston Street Primary School, Belfast",1.4
1010273,"Orangefield Primary School, Belfast",Controlled,Belfast East,460.0,1.0,"Leadhill Primary School, Belfast",3.3
1010282,"Carr's Glen Primary School, Belfast",Controlled,Belfast North,340.0,0.5,"Wheatfield Primary School, Belfast",0.9
1010301,"Taughmonagh Primary School, Belfast",Controlled,Belfast South,264.0,1.0,"Finaghy Primary School, Belfast",3.4
1010304,"Greenwood Primary School, Belfast",Controlled,Belfast East,294.0,0.5,"Belmont Primary School, Belfast",0.9
1010307,"Springhill Primary School, Belfast",Controlled,Belfast West,195.0,0.6,"Black Mountain Primary School, Belfast",1.2
1010323,"Edenbrooke Primary School, Belfast",Controlled,Belfast North,367.0,0.5,"Glenwood Primary School, Belfast",0.7
1010324,"Stranmillis Primary School, Belfast",Controlled,Belfast South,466.0,1.7,Rosetta Primary School,9.0
1010325,"Ligoniel Primary School, Belfast",Controlled,Belfast North,197.0,1.0,Ballysillan Primary School,2.9
1010806,"Finaghy Primary School, Belfast",Controlled,Belfast South,383.0,1.0,"Taughmonagh Primary School, Belfast",3.4
1010831,"Cavehill Primary School, Belfast",Controlled,Belfast North,402.0,1.5,"Lowwood Primary School, Belfast",6.8
1013018,"Knocknagoney Primary School, Belfast",Controlled,Belfast East,249.0,2.4,"Belmont Primary School, Belfast",17.9
1016059,"Black Mountain Primary School, Belfast",Controlled,Belfast West,182.0,0.6,"Springfield Primary School, Belfast",1.1
1016060,"Donegall Road Primary School, Belfast",Controlled,Belfast South,209.0,0.5,"Fane Street Primary School, Belfast",0.6
1016076,Ballysillan Primary School,Controlled,Belfast North,223.0,0.9,"Carr's Glen Primary School, Belfast",2.3
1016205,"Fane Street Primary School, Belfast",Controlled,Belfast South,309.0,0.5,"Donegall Road Primary School, Belfast",0.6
1016207,"Blythefield Primary School, Belfast",Controlled,Belfast South,192.0,0.8,"Donegall Road Primary School, Belfast",2.0
1016242,"Dundela Infants Primary School, Belfast",Controlled,Belfast East,282.0,0.3,"Strandtown Primary School, Belfast",0.2
1016485,"Glenwood Primary School, Belfast",Controlled,Belfast North,508.0,0.5,"Edenbrooke Primary School, Belfast",0.7
1016498,"Malvern Primary School, Belfast",Controlled,Belfast West,164.0,0.8,"Edenbrooke Primary School, Belfast",1.8
1016499,"Botanic Primary School, Belfast",Controlled,Belfast South,210.0,1.2,"Blythefield Primary School, Belfast",4.6
1016532,"Wheatfield Primary School, Belfast",Controlled,Belfast North,176.0,0.5,"Carr's Glen Primary School, Belfast",0.9
1016537,"Lowwood Primary School, Belfast",Controlled,Belfast North,243.0,0.9,"Seaview Primary School, Belfast",2.4
1016604,"Harmony Primary School, Belfast",Controlled,Belfast West,270.0,0.9,"Forth River Primary School, Belfast",2.6
1016647,"Bunscoil Mhic Reachtain, Belfast",Controlled,Belfast North,50.0,0.9,"Malvern Primary School, Belfast",2.6
1016655,Victoria Park Primary School,Controlled,Belfast East,373.0,0.6,"Dundela Infants Primary School, Belfast",1.3
1030194,"Holy Cross Boys' Primary School, Belfast",Catholic Maintained,Belfast North,397.0,0.6,"Sacred Heart Primary School, Belfast",1.3
1030313,"Our Lady of Lourdes Primary School, Belfast",Catholic Maintained,Belfast North,623.0,0.8,"St Mary's Star of the Sea Primary School, Belfast",2.2
1030326,"Our Lady's Primary School, Belfast",Catholic Maintained,Belfast North,193.0,0.7,"Sacred Heart Primary School, Belfast",1.8
1030327,"Holy Rosary Primary School, Belfast",Catholic Maintained,Belfast South,470.0,0.9,"St Michael's Primary School, Belfast",2.3
1030331,"Holy Cross Girls' Primary School, Belfast",Catholic Maintained,Belfast North,192.0,0.3,"Mercy Primary School, Belfast",0.4
1030868,"St Anne's Primary School, Belfast",Catholic Maintained,Belfast South,887.0,1.2,"Our Lady Queen of Peace Primary School, Belfast",4.3
1036041,"Mercy Primary School, Belfast",Catholic Maintained,Belfast North,241.0,0.3,"Holy Cross Girls' Primary School, Belfast",0.4
1036042,St Vincent de Paul Primary School,Catholic Maintained,Belfast North,288.0,1.2,"Holy Cross Girls' Primary School, Belfast",4.8
1036048,"St Mary's Star of the Sea Primary School, Belfast",Catholic Maintained,Belfast North,138.0,0.8,"Our Lady of Lourdes Primary School, Belfast",2.2
1036075,"St Bride's Primary School, Belfast",Catholic Maintained,Belfast South,838.0,1.3,"Holy Rosary Primary School, Belfast",5.3
1036132,"St Therese of Lisieux Primary School, Belfast",Catholic Maintained,Belfast North,424.0,1.4,"Our Lady's Primary School, Belfast",5.7
1036140,"St Michael's Primary School, Belfast",Catholic Maintained,Belfast South,417.0,0.9,"Holy Rosary Primary School, Belfast",2.3
1036246,"St Joseph's Primary School, Holland Dr",Catholic Maintained,Belfast East,377.0,2.4,"St Matthew's Primary School, Belfast",17.5
1036388,"St Mary's Primary School, Belfast",Catholic Maintained,Belfast West,132.0,0.6,"St Peter's Primary School, Belfast",1.1
1036466,"St Malachy's Primary School, Belfast",Catholic Maintained,Belfast South,391.0,1.2,"St Mary's Primary School, Belfast",4.5
1036471,"Sacred Heart Primary School, Belfast",Catholic Maintained,Belfast North,156.0,0.6,"Holy Cross Boys' Primary School, Belfast",1.3
