De ref,school name,management type,constituency,total enrolment,nearest_distance_other_management,nearest_school_other_management,nearest_management_type_other_management,area
3032268,"St Columba's Primary School, Straw",Catholic Maintained,Mid Ulster,145.0,0.0,"Gaelscoil Na Speirini, Draperstown",Other Maintained,0.0
5031669,"St John's Primary School, Gilford",Catholic Maintained,Upper Bann,127.0,0.0,"Gilford Primary School, Craigavon",Controlled,0.0
3046678,"Gaelscoil Na Speirini, Draperstown",Other Maintained,Mid Ulster,79.0,0.0,"St Columba's Primary School, Straw",Catholic Maintained,0.0
5036706,"St Columban's Primary School, Kilkeel",Catholic Maintained,South Down,225.0,0.0,"Gaelscoil na mBeann, Kilkeel",Other Maintained,0.0
5046692,"Gaelscoil na mBeann, Kilkeel",Other Maintained,South Down,94.0,0.0,"St Columban's Primary School, Kilkeel",Catholic Maintained,0.0
3036026,"St Joseph's Primary School, Crumlin",Catholic Maintained,South Antrim,541.0,0.0,"Gaelscoil Ghleann Darach, Crumlin",Other Maintained,0.0
5011596,"Gilford Primary School, Craigavon",Controlled,Upper Bann,88.0,0.0,"St John's Primary School, Gilford",Catholic Maintained,0.0
3046684,"Gaelscoil Ghleann Darach, Crumlin",Other Maintained,South Antrim,99.0,0.0,"St Joseph's Primary School, Crumlin",Catholic Maintained,0.0
4011674,"Knockbreda Primary School, Belfast",Controlled,Belfast South,142.0,0.1,"St Bernards Primary School, Belfast",Catholic Maintained,0.0
4031676,"St Bernards Primary School, Belfast",Catholic Maintained,Belfast South,437.0,0.1,"Knockbreda Primary School, Belfast",Controlled,0.0
2016071,Greenhaw Primary School,Controlled,Foyle,321.0,0.1,"St Patrick's Primary School, Pennyburn",Catholic Maintained,0.0
2036581,"St Patrick's Primary School, Pennyburn",Catholic Maintained,Foyle,719.0,0.1,Greenhaw Primary School,Controlled,0.0
5620263,Armagh Royal Preparatory Department,Voluntary,Newry And Armagh,30.0,0.2,"The Armstrong Primary School, Armagh",Controlled,0.1
5011115,"The Armstrong Primary School, Armagh",Controlled,Newry And Armagh,487.0,0.2,Armagh Royal Preparatory Department,Voluntary,0.1
4010762,"Brownlee Primary School, Lisburn",Controlled,Lagan Valley,198.0,0.2,"St Joseph's Primary School, Lisburn",Catholic Maintained,0.1
4030897,"St Joseph's Primary School, Lisburn",Catholic Maintained,Lagan Valley,385.0,0.2,"Brownlee Primary School, Lisburn",Controlled,0.1
1036623,"Holy Trinity Primary School, Belfast",Catholic Maintained,Belfast West,645.0,0.2,"Gaelscoil na Mona, Belfast",Other Maintained,0.1
1046671,"Gaelscoil na Mona, Belfast",Other Maintained,Belfast West,113.0,0.2,"Holy Trinity Primary School, Belfast",Catholic Maintained,0.1
1046596,Bunscoil Bheann Mhadagain,Other Maintained,Belfast North,199.0,0.2,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,0.1
1056483,"Cliftonville Integrated Primary School, Belfast",Controlled Integrated,Belfast North,408.0,0.2,Bunscoil Bheann Mhadagain,Other Maintained,0.1
2016029,"Drumachose Primary School, Limavady",Controlled,East Londonderry,410.0,0.2,"Gaelscoil Leim An Mhadaidh, Limavady",Other Maintained,0.1
2046689,"Gaelscoil Leim An Mhadaidh, Limavady",Other Maintained,East Londonderry,123.0,0.2,"Drumachose Primary School, Limavady",Controlled,0.1
5016078,Poyntzpass Primary School,Controlled,Newry And Armagh,156.0,0.2,"St Joseph's and St James's Primary School, Poyntzpass",Catholic Maintained,0.1
5036675,"St Joseph's and St James's Primary School, Poyntzpass",Catholic Maintained,Newry And Armagh,110.0,0.2,Poyntzpass Primary School,Controlled,0.1
3066568,"Acorn Integrated Primary School, Carrickfergus",GMI,East Antrim,223.0,0.2,"Victoria Primary School, Carrickfergus",Controlled,0.1
3013330,"Victoria Primary School, Carrickfergus",Controlled,East Antrim,410.0,0.2,"Acorn Integrated Primary School, Carrickfergus",GMI,0.1
3032281,"St Mary's Primary School, Bellaghy",Catholic Maintained,Mid Ulster,208.0,0.2,Bellaghy Primary School,Controlled,0.2
3012290,Bellaghy Primary School,Controlled,Mid Ulster,48.0,0.2,"St Mary's Primary School, Bellaghy",Catholic Maintained,0.2
4036428,"St Mary's Primary School, Kircubbin",Catholic Maintained,Strangford,142.0,0.2,"Kircubbin Integrated Primary School, Newtownards",Controlled Integrated,0.2
4051569,"Kircubbin Integrated Primary School, Newtownards",Controlled Integrated,Strangford,196.0,0.2,"St Mary's Primary School, Kircubbin",Catholic Maintained,0.2
2011894,Brookeborough Primary School,Controlled,Fermanagh And South Tyrone,64.0,0.2,"St Mary's Primary School, Brookeborough",Catholic Maintained,0.2
2031876,"St Mary's Primary School, Brookeborough",Catholic Maintained,Fermanagh And South Tyrone,65.0,0.2,Brookeborough Primary School,Controlled,0.2
2036555,"St Eugene's Primary School, Derry",Catholic Maintained,Foyle,199.0,0.2,Londonderry Model Primary School,Controlled,0.2
2010380,Londonderry Model Primary School,Controlled,Foyle,281.0,0.2,"St Eugene's Primary School, Derry",Catholic Maintained,0.2
1056535,"Forge Integrated Primary School, Belfast",Controlled Integrated,Belfast South,394.0,0.2,Rosetta Primary School,Controlled,0.2
1010157,Rosetta Primary School,Controlled,Belfast South,310.0,0.2,"Forge Integrated Primary School, Belfast",Controlled Integrated,0.2
2036247,"St Columba's Primary School, Newbuildings",Catholic Maintained,Foyle,41.0,0.2,Newbuildings Primary School,Controlled,0.2
2012261,Newbuildings Primary School,Controlled,Foyle,183.0,0.2,"St Columba's Primary School, Newbuildings",Catholic Maintained,0.2
5032692,"St Mary's Primary School, Stewartstown",Catholic Maintained,Mid Ulster,92.0,0.3,Stewartstown Primary School,Controlled,0.2
5012643,Stewartstown Primary School,Controlled,Mid Ulster,57.0,0.3,"St Mary's Primary School, Stewartstown",Catholic Maintained,0.2
4011631,Holywood Primary School,Controlled,North Down,455.0,0.3,"St Patrick's Primary School, Holywood",Catholic Maintained,0.2
4031628,"St Patrick's Primary School, Holywood",Catholic Maintained,North Down,303.0,0.3,Holywood Primary School,Controlled,0.2
1010063,"Currie Primary School, Belfast",Controlled,Belfast North,192.0,0.3,"Holy Family Primary School, Belfast",Catholic Maintained,0.2
1036566,"Holy Family Primary School, Belfast",Catholic Maintained,Belfast North,486.0,0.3,"Currie Primary School, Belfast",Controlled,0.2
