De ref,school name,town,postcode,management type,constituency,Urban/ Rural     ,total enrolment,Latitude,Longitude
1010012,"Belmont Primary School, Belfast",Belfast,BT4 2AG,Controlled,Belfast East,URBAN,245.0,54.598815,-5.867075
1010063,"Currie Primary School, Belfast",Belfast,BT15 3AB,Controlled,Belfast North,URBAN,192.0,54.615987,-5.930782
1010146,"Euston Street Primary School, Belfast",Belfast,BT6 9AG,Controlled,Belfast East,URBAN,363.0,54.588914,-5.898412
1010157,Rosetta Primary School,Belfast,BT6 0JA,Controlled,Belfast South,URBAN,310.0,54.570179,-5.91184
1010205,"Forth River Primary School, Belfast",Belfast,BT13 3PQ,Controlled,Belfast West,URBAN,212.0,54.61246,-5.969755
1010221,"Springfield Primary School, Belfast",Belfast,BT12 7DJ,Controlled,Belfast West,URBAN,177.0,54.601149,-5.969327
1010252,"Strandtown Primary School, Belfast",Belfast,BT4 3DJ,Controlled,Belfast East,URBAN,979.0,54.597401,-5.875551
1010255,"Elmgrove Primary School, Belfast",Belfast,BT5 4RS,Controlled,Belfast East,URBAN,612.0,54.591444,-5.893547
1010266,"Seaview Primary School, Belfast",Belfast,BT15 3NB,Controlled,Belfast North,URBAN,448.0,54.626744,-5.927231
1010267,"Nettlefield Primary School, Belfast",Belfast,BT6 8BG,Controlled,Belfast South,URBAN,413.0,54.592931,-5.906235
1010273,"Orangefield Primary School, Belfast",Belfast,BT5 6BA,Controlled,Belfast East,URBAN,460.0,54.58303,-5.879935
1010282,"Carr's Glen Primary School, Belfast",Belfast,BT14 6QX,Controlled,Belfast North,URBAN,340.0,54.62434,-5.961854
1010301,"Taughmonagh Primary School, Belfast",Belfast,BT9 6QL,Controlled,Belfast South,URBAN,264.0,54.559872,-5.967716
1010304,"Greenwood Primary School, Belfast",Belfast,BT4 3HS,Controlled,Belfast East,URBAN,294.0,54.59561,-5.861099
1010307,"Springhill Primary School, Belfast",Belfast,BT13 3NH,Controlled,Belfast West,URBAN,195.0,54.605993,-5.978496
1010323,"Edenbrooke Primary School, Belfast",Belfast,BT13 3GG,Controlled,Belfast North,URBAN,367.0,54.609933,-5.953627
1010324,"Stranmillis Primary School, Belfast",Belfast,BT9 5EH,Controlled,Belfast South,URBAN,466.0,54.567386,-5.937621
1010325,"Ligoniel Primary School, Belfast",Belfast,BT14 8BW,Controlled,Belfast North,URBAN,197.0,54.62425,-5.978984
1010806,"Finaghy Primary School, Belfast",Belfast,BT10 0DR,Controlled,Belfast South,URBAN,383.0,54.560269,-5.983898
1010831,"Cavehill Primary School, Belfast",Belfast,BT15 5FG,Controlled,Belfast North,URBAN,402.0,54.635449,-5.947218
1013018,"Knocknagoney Primary School, Belfast",Belfast,BT4 2NR,Controlled,Belfast East,URBAN,249.0,54.618774,-5.85352
1016059,"Black Mountain Primary School, Belfast",Belfast,BT13 3TT,Controlled,Belfast West,URBAN,182.0,54.600382,-5.978248
1016060,"Donegall Road Primary School, Belfast",Belfast,BT12 6HE,Controlled,Belfast South,URBAN,209.0,54.589134,-5.95317
